Invoice ID,Invoice Name,Invoice Description,Invoice Amount,Invoice Date,Department,Project Name,Project Stage,Vendor Name,Recurring Expense?,Useful Life Expectancy,True Value,Record Owner
I-0115,Office Supplies,Monthly order of general office supplies,1800,2/18/2025,Operations,Downtown Office Tower,Ongoing Maintenance,Staples,TRUE,1,OpEx,
I-0116,HVAC Control System,Smart thermostat and control panel installation,12500,2/20/2025,Operations,HVAC System Upgrade,Execution,Honeywell,FALSE,10,CapEx,
I-0117,Customer Service Training,,5500,2/22/2025,Customer Service,Employee Training Initiative,Execution,Customer First Institute,FALSE,1,OpEx,
I-0118,Safety Equipment Purchase,Hard hats and safety vests for construction site,3100,2/25/2025,Operations,Downtown Office Tower,Execution,Safety Supplies Co.,FALSE,3,CapEx,
I-0119,Product Development Software,Specialized R&D software license,18000,2/28/2025,Research and Development (R&D),AI Software Development,Execution,Autodesk,FALSE,3,CapEx,
I-0120,Legal Database Subscription,Annual access to legal research database,7500,3/1/2025,Legal,Downtown Office Tower,Ongoing Maintenance,LexisNexis,TRUE,1,OpEx,
I-0121,Trade Show Booth Design,Custom booth for industry convention,9200,3/3/2025,Marketing,Downtown Office Tower,Planning,Creative Displays Inc.,FALSE,3,CapEx,
I-0122,Sales Training Program,,6800,3/5/2025,Sales,Employee Training Initiative,Execution,Sales Excellence Group,FALSE,1,OpEx,
I-0123,Server Room Cooling System,Specialized air conditioning for server room,28000,3/8/2025,Information Technology (IT),HVAC System Upgrade,Execution,Cooling Technologies Inc.,FALSE,10,CapEx,
I-0124,Payroll Software Upgrade,New module for time tracking,14500,3/10/2025,Human Resources (HR),AI Software Development,Execution,ADP,FALSE,5,CapEx,
I-0125,Roof Repair Services,Repair of damaged sections identified in inspection,8900,3/12/2025,Operations,Annual Roof Inspection,Execution,RoofCare Experts,FALSE,5,CapEx,
I-0126,Financial Planning Software,Annual subscription for budgeting tools,6200,3/15/2025,Finance/Accounting,AI Software Development,Ongoing Maintenance,Oracle,TRUE,1,OpEx,
I-0127,Computer Monitors,New monitors for downtown office,12000,3/18/2025,Information Technology (IT),Downtown Office Tower,Execution,Samsung,FALSE,4,CapEx,
I-0128,Project Management Training,,4800,3/20/2025,Operations,Employee Training Initiative,Execution,Project Management Institute,FALSE,1,OpEx,
I-0129,Digital Marketing Campaign,Online advertising for new product launch,11000,3/22/2025,Marketing,AI Software Development,Execution,Google Ads,FALSE,1,OpEx,
I-0130,Sales Analytics Platform,Sales performance tracking software,16500,3/25/2025,Sales,AI Software Development,Planning,Tableau,FALSE,3,CapEx,
I-0131,HVAC Air Filtration System,Advanced air purification components,9800,3/28/2025,Operations,HVAC System Upgrade,Execution,Pure Air Solutions,FALSE,8,CapEx,
I-0132,Benefits Administration Software,Annual subscription for benefits management,7300,3/30/2025,Human Resources (HR),AI Software Development,Ongoing Maintenance,Zenefits,TRUE,1,OpEx,
I-0133,Mobile App Development,Customer-facing mobile application,45000,4/1/2025,Information Technology (IT),AI Software Development,Execution,AppDev Partners,FALSE,3,CapEx,
I-0134,Security System Installation,Access control and surveillance for downtown office,36000,4/3/2025,Operations,Downtown Office Tower,Execution,Security Systems Inc.,FALSE,7,CapEx,
I-0135,Annual Insurance Premium,Business liability insurance,22000,4/5/2025,Finance/Accounting,Downtown Office Tower,Ongoing Maintenance,Travelers Insurance,TRUE,1,OpEx,
I-0136,Trademark Registration,Legal protection for new product names,5500,4/8/2025,Legal,AI Software Development,Planning,IP Law Group,FALSE,1,OpEx,
I-0137,Customer Service Software,Help desk ticketing system,19000,4/10/2025,Customer Service,AI Software Development,Execution,Zendesk,FALSE,4,CapEx,
I-0138,HVAC Ductwork Installation,Ventilation system for downtown office,31000,4/12/2025,Operations,HVAC System Upgrade,Execution,Airflow Systems,FALSE,20,CapEx,
I-0139,Data Analytics Training,,6800,4/15/2025,Research and Development (R&D),Employee Training Initiative,Execution,Data Science Academy,FALSE,1,OpEx,
I-0140,Website Redesign,Company website overhaul,28000,4/18/2025,Marketing,AI Software Development,Execution,Digital Design Agency,FALSE,3,CapEx,
I-0141,Sales Territory Mapping Software,Geographic sales analysis tool,8500,4/20/2025,Sales,AI Software Development,Planning,Esri,FALSE,3,CapEx,
I-0142,Roof Weatherproofing Treatment,Protective coating application,12000,4/22/2025,Operations,Annual Roof Inspection,Completion,Weather Shield Inc.,FALSE,5,CapEx,
I-0143,Tax Preparation Services,Annual tax filing assistance,9000,4/25/2025,Finance/Accounting,Downtown Office Tower,Completion,Ernst & Young,TRUE,1,OpEx,
I-0144,Network Security Audit,,7500,4/28/2025,Information Technology (IT),AI Software Development,Execution,Cybersecurity Partners,FALSE,1,OpEx,
I-0145,Employee Recognition Program,Annual employee awards event,5200,4/30/2025,Human Resources (HR),Employee Training Initiative,Execution,Recognition Solutions,TRUE,1,OpEx,
I-0146,Business Process Consulting,Efficiency improvement consultation,18000,5/2/2025,Operations,Downtown Office Tower,Planning,McKinsey & Company,FALSE,1,OpEx,
I-0147,AI Algorithm Development,Custom machine learning model development,52000,5/5/2025,Research and Development (R&D),AI Software Development,Execution,AI Innovations LLC,FALSE,3,CapEx,
I-0148,Legal Contract Templates,Standardized contract development,4800,5/8/2025,Legal,Downtown Office Tower,Planning,Legal Templates Inc.,FALSE,2,CapEx,
I-0149,Customer Feedback Platform,Annual subscription for feedback collection,6200,5/10/2025,Customer Service,AI Software Development,Ongoing Maintenance,SurveyMonkey,TRUE,1,OpEx,
I-0150,HVAC Energy Efficiency Upgrade,High-efficiency components installation,24000,5/12/2025,Operations,HVAC System Upgrade,Execution,EnergyWise Solutions,FALSE,10,CapEx,
I-0151,Leadership Development Program,,12000,5/15/2025,Human Resources (HR),Employee Training Initiative,Execution,Executive Coaching Group,FALSE,1,OpEx,
I-0152,Virtual Reality Equipment,VR headsets for training simulations,15000,5/18/2025,Research and Development (R&D),Employee Training Initiative,Execution,Oculus,FALSE,3,CapEx,
I-0153,SEO Optimization Services,Website search engine optimization,8500,5/20/2025,Marketing,AI Software Development,Execution,SEO Experts Inc.,FALSE,1,OpEx,
I-0154,Sales Presentation Equipment,Projectors and display screens,7200,5/22/2025,Sales,Downtown Office Tower,Execution,Epson,FALSE,4,CapEx,
I-0155,Roof Drainage System Upgrade,Improved water management system,18000,5/25/2025,Operations,Annual Roof Inspection,Execution,Drainage Solutions,FALSE,15,CapEx,
I-0156,Financial Forecasting Software,Predictive analytics for budget planning,13500,5/28/2025,Finance/Accounting,AI Software Development,Execution,Adaptive Insights,FALSE,4,CapEx,
I-0157,Data Center Expansion,Additional server rack installation,68000,5/30/2025,Information Technology (IT),Downtown Office Tower,Execution,DataCenter Solutions,FALSE,8,CapEx,
I-0158,Employee Wellness Program,Annual health and wellness initiative,9500,6/1/2025,Human Resources (HR),Employee Training Initiative,Ongoing Maintenance,Wellness Works,TRUE,1,OpEx,
I-0159,Product Packaging Design,New packaging for product line,11000,6/3/2025,Marketing,AI Software Development,Planning,Design Partners LLC,FALSE,2,CapEx,
I-0160,CRM Integration Services,Custom integration with existing systems,17000,6/5/2025,Sales,AI Software Development,Execution,Integration Specialists,FALSE,3,CapEx,
I-0161,HVAC Maintenance Contract,Annual system maintenance and servicing,8800,6/8/2025,Operations,HVAC System Upgrade,Ongoing Maintenance,HVAC Maintenance Pro,TRUE,1,OpEx,
I-0162,Compliance Training Program,,5500,6/10/2025,Legal,Employee Training Initiative,Execution,Compliance Training Inc.,FALSE,1,OpEx,
I-0163,Customer Service Call Center Equipment,Headsets and specialized phones,9200,6/12/2025,Customer Service,Downtown Office Tower,Execution,Call Center Solutions,FALSE,4,CapEx,
I-0164,Structural Engineering Assessment,Building integrity evaluation,12000,6/15/2025,Operations,Annual Roof Inspection,Planning,Structural Engineering Group,FALSE,1,OpEx,
I-0165,Accounting Software Upgrade,New financial reporting module,16000,6/18/2025,Finance/Accounting,AI Software Development,Execution,Intuit,FALSE,4,CapEx,
I-0166,Cloud Storage Expansion,Additional cloud storage capacity,7500,6/20/2025,Information Technology (IT),AI Software Development,Execution,Dropbox Business,FALSE,2,CapEx,
I-0167,Employee Onboarding System,Digital onboarding platform,14000,6/22/2025,Human Resources (HR),AI Software Development,Planning,Onboarding Solutions,FALSE,4,CapEx,
I-0168,Market Analysis Report,Industry trends and competitive analysis,18000,6/25/2025,Marketing,Downtown Office Tower,Planning,Market Research Partners,FALSE,1,OpEx,
I-0169,Sales Commission Software,Commission calculation and tracking system,12500,6/28/2025,Sales,AI Software Development,Execution,Commission Solutions,FALSE,3,CapEx,
I-0170,Fire Protection System Upgrade,Enhanced sprinkler system for downtown office,35000,6/30/2025,Operations,Downtown Office Tower,Execution,Fire Safety Systems Inc.,FALSE,15,CapEx,
I-0171,Tax Advisory Services,Strategic tax planning consultation,11000,7/2/2025,Finance/Accounting,Downtown Office Tower,Planning,PwC,FALSE,1,OpEx,
I-0172,Database Management System,Enterprise database solution,45000,7/5/2025,Information Technology (IT),AI Software Development,Execution,Oracle,FALSE,5,CapEx,
I-0173,Diversity and Inclusion Training,,7800,7/8/2025,Human Resources (HR),Employee Training Initiative,Execution,Diversity Partners,FALSE,1,OpEx,
I-0174,Advertising Campaign,Television and radio ad campaign,30000,7/10/2025,Marketing,Downtown Office Tower,Execution,Media Buying Agency,FALSE,1,OpEx,
I-0175,Sales Training Materials,Custom training manuals and videos,8500,7/12/2025,Sales,Employee Training Initiative,Planning,Training Materials Pro,FALSE,2,CapEx,
I-0176,HVAC Zoning System,Temperature control by zone installation,26000,7/15/2025,Operations,HVAC System Upgrade,Execution,Climate Control Solutions,FALSE,12,CapEx,
I-0177,Legal Research Services,Industry-specific legal research,6500,7/18/2025,Legal,AI Software Development,Planning,Legal Research Group,FALSE,1,OpEx,
I-0178,Customer Relationship Training,Training for customer service representatives,5200,7/20/2025,Customer Service,Employee Training Initiative,Execution,Customer Excellence Institute,FALSE,1,OpEx,
I-0179,Roof Ventilation System,Improved air flow system for building,15000,7/22/2025,Operations,Annual Roof Inspection,Execution,Ventilation Experts,FALSE,15,CapEx,
